1.2433 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
56.1981 	EXP 	window1: recordFrameIntervals = False
56.2015 	DATA 	Keypress: right
56.2086 	EXP 	fixation: autoDraw = False
56.2086 	EXP 	grating: autoDraw = False
56.2086 	EXP 	grating: pos = array([0.2, 0. ])
56.2090 	EXP 	window1: recordFrameIntervals = False
57.1918 	EXP 	fixation: autoDraw = True
58.1918 	EXP 	fixation: autoDraw = False
58.1918 	EXP 	grating: autoDraw = True
58.1918 	EXP 	grating: tex = 'sin'
58.4917 	EXP 	grating: autoDraw = False
58.5146 	EXP 	window1: recordFrameIntervals = False
58.5177 	DATA 	Keypress: right
58.5250 	EXP 	fixation: autoDraw = False
58.5250 	EXP 	grating: autoDraw = False
58.5250 	EXP 	grating: pos = array([-0.2,  0. ])
58.5254 	EXP 	window1: recordFrameIntervals = False
59.5061 	EXP 	fixation: autoDraw = True
60.5078 	EXP 	fixation: autoDraw = False
60.5078 	EXP 	grating: autoDraw = True
60.5078 	EXP 	grating: tex = 'sin'
60.8083 	EXP 	grating: autoDraw = False
60.8638 	DATA 	Keypress: left
60.8819 	EXP 	window1: recordFrameIntervals = False
60.8915 	EXP 	fixation: autoDraw = False
60.8915 	EXP 	grating: autoDraw = False
60.8915 	EXP 	grating: pos = array([-0.2,  0. ])
60.8920 	EXP 	window1: recordFrameIntervals = False
61.8737 	EXP 	fixation: autoDraw = True
62.8745 	EXP 	fixation: autoDraw = False
62.8745 	EXP 	grating: autoDraw = True
62.8745 	EXP 	grating: tex = 'sin'
63.1746 	EXP 	grating: autoDraw = False
63.1813 	EXP 	window1: recordFrameIntervals = False
63.1849 	DATA 	Keypress: left
63.1914 	EXP 	fixation: autoDraw = False
63.1914 	EXP 	grating: autoDraw = False
63.1914 	EXP 	grating: pos = array([-0.2,  0. ])
63.1919 	EXP 	window1: recordFrameIntervals = False
64.1734 	EXP 	fixation: autoDraw = True
65.1742 	EXP 	fixation: autoDraw = False
65.1742 	EXP 	grating: autoDraw = True
65.1742 	EXP 	grating: tex = 'sin'
65.4738 	EXP 	grating: autoDraw = False
65.5488 	EXP 	window1: recordFrameIntervals = False
65.5523 	DATA 	Keypress: left
65.5580 	EXP 	fixation: autoDraw = False
65.5580 	EXP 	grating: autoDraw = False
65.5580 	EXP 	grating: pos = array([0.2, 0. ])
65.5586 	EXP 	window1: recordFrameIntervals = False
66.5410 	EXP 	fixation: autoDraw = True
67.5408 	EXP 	fixation: autoDraw = False
67.5408 	EXP 	grating: autoDraw = True
67.5408 	EXP 	grating: tex = 'sin'
67.8409 	EXP 	grating: autoDraw = False
67.8804 	EXP 	window1: recordFrameIntervals = False
67.8835 	DATA 	Keypress: right
67.8908 	EXP 	fixation: autoDraw = False
67.8908 	EXP 	grating: autoDraw = False
67.8908 	EXP 	grating: pos = array([0.2, 0. ])
67.8913 	EXP 	window1: recordFrameIntervals = False
68.8719 	EXP 	fixation: autoDraw = True
69.8741 	EXP 	fixation: autoDraw = False
69.8741 	EXP 	grating: autoDraw = True
69.8741 	EXP 	grating: tex = 'sin'
70.1740 	EXP 	grating: autoDraw = False
70.2302 	EXP 	window1: recordFrameIntervals = False
70.2336 	DATA 	Keypress: left
70.2407 	EXP 	fixation: autoDraw = False
70.2407 	EXP 	grating: autoDraw = False
70.2407 	EXP 	grating: pos = array([-0.2,  0. ])
70.2412 	EXP 	window1: recordFrameIntervals = False
71.0158 	DATA 	Keypress: right
71.2225 	EXP 	fixation: autoDraw = True
72.2237 	EXP 	fixation: autoDraw = False
72.2237 	EXP 	grating: autoDraw = True
72.2237 	EXP 	grating: tex = 'sin'
72.5234 	EXP 	grating: autoDraw = False
72.5804 	EXP 	window1: recordFrameIntervals = False
72.5849 	DATA 	Keypress: left
72.5906 	EXP 	fixation: autoDraw = False
72.5906 	EXP 	grating: autoDraw = False
72.5906 	EXP 	grating: pos = array([0.2, 0. ])
72.5913 	EXP 	window1: recordFrameIntervals = False
73.5721 	EXP 	fixation: autoDraw = True
74.5734 	EXP 	fixation: autoDraw = False
74.5734 	EXP 	grating: autoDraw = True
74.5734 	EXP 	grating: tex = 'sin'
74.8736 	EXP 	grating: autoDraw = False
74.9134 	DATA 	Keypress: right
74.9300 	EXP 	window1: recordFrameIntervals = False
