loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,num_distr,fixation.started,fixation.stopped,target.started,target.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,
18,0,18,0,5,46.35350930003915,None,46.35350930003915,None,0.13411458333333334,0.20703125,1,0,0,1.4760801999364048,target,0.002887230133637786,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
19,0,19,0,10,47.88066460005939,None,47.88066460005939,None,0.2109375,0.23307291666666666,1,0,0,1.8909364000428468,target,0.011791740078479052,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
20,0,20,0,5,49.81031800003257,None,49.81031800003257,None,-0.3372395833333333,-0.22916666666666666,1,0,0,1.9977428999263793,target,0.009871429996564984,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
21,0,21,0,5,51.85218160005752,None,51.85218160005752,None,0.033854166666666664,-0.032552083333333336,1,0,0,1.768349100020714,target,0.006501030060462654,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
22,0,22,0,10,53.72168509999756,None,53.72168509999756,None,0.4947916666666667,0.4049479166666667,1,0,0,1.4519857000559568,target,0.013697560061700642,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
23,0,23,0,10,55.22799680009484,None,55.22799680009484,None,0.016927083333333332,0.044270833333333336,1,0,0,1.5110087000066414,target,0.0038537400541827083,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
24,0,24,0,5,56.77198700001463,None,56.77198700001463,None,-0.31640625,0.12760416666666666,1,0,0,1.8335633999668062,target,0.0066497300285845995,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
25,0,25,0,5,58.65663640003186,None,58.65663640003186,None,0.2421875,-0.3815104166666667,1,0,0,2.236226200009696,target,0.002639629994519055,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
26,0,26,0,5,60.9375122000929,None,60.9375122000929,None,0.44921875,0.2643229166666667,1,0,0,1.7966579999774694,target,0.013961940188892186,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
27,0,27,0,10,62.811426800093614,None,62.811426800093614,None,-0.11328125,-0.37890625,1,0,0,1.9247190000023693,target,0.0038621400017291307,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
28,0,28,0,10,64.77222350006923,None,64.77222350006923,None,0.4856770833333333,-0.07552083333333333,1,0,0,1.6519960999721661,target,0.01667994004674256,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
29,0,29,0,10,66.48212170007173,None,66.48212170007173,None,0.4765625,0.022135416666666668,1,0,0,1.110376000055112,target,0.010723139974288642,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
30,0,30,0,10,67.65743610006757,None,67.65743610006757,None,0.17057291666666666,-0.23177083333333334,1,0,0,1.667276700027287,target,0.004058440099470317,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
31,0,31,0,5,69.37432699999772,None,69.37432699999772,None,0.4765625,0.421875,1,0,0,1.5953993999864906,target,0.00044303014874458313,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
32,0,32,0,5,71.0120427000802,None,71.0120427000802,None,0.3125,0.3984375,1,0,0,1.0950746000744402,target,0.015528040006756783,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
33,0,33,0,5,72.15695690002758,None,72.15695690002758,None,0.265625,-0.13020833333333334,1,0,0,1.3338893000036478,target,0.014254640089347959,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
34,0,34,0,10,73.55316410004161,None,73.55316410004161,None,0.037760416666666664,0.17708333333333334,1,0,0,1.4062465999741107,target,0.007111240061931312,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
35,0,35,0,10,75.03131120000035,None,75.03131120000035,None,-0.3802083333333333,-0.4036458333333333,1,0,0,2.026533400057815,target,0.005843440070748329,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
36,0,36,0,5,77.08305770007428,None,77.08305770007428,None,0.3072916666666667,-0.3723958333333333,1,0,0,1.7677790999878198,target,0.011200829991139472,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
37,0,37,0,5,78.90172870003153,None,78.90172870003153,None,0.48828125,-0.3697916666666667,1,0,0,1.0906735999742523,target,0.0008238301379606128,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
38,0,38,0,10,80.07540540001355,None,80.07540540001355,None,0.3776041666666667,0.4661458333333333,1,0,0,3.361524200066924,target,0.0075593499932438135,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
39,0,39,0,5,83.4618723000167,None,83.4618723000167,None,0.01953125,-0.22265625,1,0,0,1.1596911000087857,target,0.010908930096775293,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
40,0,40,0,10,84.71932660008315,None,84.71932660008315,None,0.46484375,0.4322916666666667,1,0,0,1.4726239000447094,target,0.0018302500247955322,None,4,001,2022_Oct_05_1924,Tutorial_3,2021.1.4,60.032153200515516,
