num_distr,mouse.time,mouse.clicked_name,participant,,,,
5,2.5291698,target,2,,,,
5,1.6791694,target,2,,,,
5,1.4804581,target,2,,,,
10,2.392439,target,2,,,,
5,1.0486536,target,2,,,,
10,0.9868334,target,2,,,,
10,1.4893781,target,2,,,,
5,1.443872,target,2,,,,
10,4.1464954,target,2,,,,
10,0.9828768,target,2,,,,
10,1.7992879,target,2,,,,
10,1.732488,target,2,,,,
5,1.3360885,target,2,,,,
10,1.4117856,target,2,,,,
10,1.8918765,target,2,,,,
5,1.8526405,target,2,,,,
5,1.6797292,target,2,,,,
10,2.0897481,target,2,,,,
10,2.671266,target,2,,,,
10,1.7088246,target,2,,,,
5,2.5198229,target,2,,,,
10,4.8779756,target,2,,,,
5,1.3328605,target,2,,,,
10,0.8783757,target,2,,,,
5,1.8832007,target,3,,,,
10,1.5555625,target,3,,,,
5,2.3473739,target,3,,,,
10,1.9837121,,3,,,,
5,1.3845627,target,3,,,,
10,1.5038149,target,3,,,,
10,3.1474741,target,3,,,,
10,2.7991059,target,3,,,,
10,1.9569954,target,3,,,,
10,2.6927152,target,3,,,,
10,1.0839949,target,3,,,,
5,2.1131177,target,3,,,,
5,1.8679858,target,3,,,,
5,1.0014755,target,3,,,,
10,1.4659676,target,3,,,,
10,1.8072511,target,3,,,,
10,1.7057262,target,3,,,,
10,2.4976362,target,3,,,,
5,1.5851035,target,3,,,,
10,3.1068615,target,3,,,,
5,2.0308288,target,3,,,,
10,2.917843,target,3,,,,
10,1.9205483,target,3,,,,
5,1.5323528,target,3,,,,
5,1.339612,target,3,,,,
10,3.8102548,target,3,,,,
5,1.3182864,target,3,,,,
10,2.5976114,target,3,,,,
10,2.195322,target,3,,,,
5,1.6459212,target,3,,,,
5,1.4722647,target,3,,,,
10,1.1624561,target,3,,,,
10,2.0928032,target,3,,,,
10,2.816888,target,3,,,,
5,1.2769135,target,3,,,,
10,3.7603429,target,3,,,,
5,2.0230305,target,3,,,,
10,2.227442,target,3,,,,
5,1.2596489,target,3,,,,
5,2.4847372,target,3,,,,
5,1.1276501,target,3,,,,
10,1.7201029,target,3,,,,
5,1.4576681,target,3,,,,
5,1.0350978,target,3,,,,
5,2.9868935,target,3,,,,
10,3.7603671,target,3,,,,
10,3.1174864,target,3,,,,
5,1.6269617,target,3,,,,
10,4.0844215,target,3,,,,
5,1.1241033,target,3,,,,
10,2.2553982,target,3,,,,
10,2.3991817,target,3,,,,
5,1.6273781,target,3,,,,
10,2.561476,target,3,,,,
5,2.2486675,target,3,,,,
10,1.868114,target,3,,,,
5,1.5039034,target,3,,,,
5,1.1678129,target,3,,,,
5,1.2993664,target,3,,,,
5,1.0929862,target,3,,,,
10,1.2287096,target,3,,,,
10,1.8536858,target,3,,,,
10,3.2877804,target,3,,,,
5,1.8857871,target,3,,,,
10,2.0023189,target,3,,,,
5,1.541753,target,3,,,,
10,1.806021,target,3,,,,
10,2.9445419,target,3,,,,
5,1.919957,target,3,,,,
10,2.0484122,target,3,,,,
5,1.4360189,target,3,,,,
10,1.9918974,target,3,,,,
10,2.8909802,target,3,,,,
5,2.1309726,target,3,,,,
10,1.6018624,target,3,,,,
5,1.5466958,target,3,,,,
5,1.8254462,target,3,,,,
5,2.1739674,target,3,,,,
5,1.3106339,target,3,,,,
5,1.3301081,target,3,,,,
5,1.5301721,target,3,,,,
5,2.3264583,target,3,,,,
5,1.9304531,target,3,,,,
10,1.9394175,target,3,,,,
10,1.3519615,target,3,,,,
10,1.342835,target,3,,,,
10,1.3341896,target,3,,,,
10,1.2316868,target,3,,,,
10,2.5126392,target,3,,,,
5,2.0653405,target,3,,,,
10,2.8272752,target,3,,,,
10,1.759742,target,3,,,,
5,1.3250144,target,3,,,,
10,2.4732376,target,3,,,,
10,2.6117959,target,3,,,,
5,1.4949583,target,3,,,,
10,2.2245056,target,3,,,,
10,2.0183768,target,3,,,,
10,2.1570844,target,3,,,,
10,2.5420808,target,3,,,,
5,2.5619991,target,3,,,,
10,1.7973418,target,3,,,,
10,3.4056192,target,3,,,,
5,1.6927676,target,3,,,,
5,1.1869675,target,3,,,,
5,1.4518554,target,3,,,,
10,1.3814334,target,3,,,,
10,1.3908017,target,3,,,,
10,2.0470398,target,3,,,,
5,2.0589566,target,3,,,,
5,1.9717357,target,3,,,,
10,1.1282589,target,3,,,,
10,2.6315884,target,3,,,,
5,1.4436609,target,3,,,,
5,1.8726438,target,3,,,,
5,1.7308351,target,3,,,,
10,1.8161264,target,3,,,,
10,0.9435002,target,3,,,,
5,2.0293104,target,3,,,,
5,2.0705591,target,3,,,,
10,1.7090259,target,3,,,,
5,1.5884979,target,3,,,,
5,1.2249816,target,3,,,,
5,2.1781478,target,3,,,,
10,2.7596538,target,3,,,,
5,2.0076685,target,3,,,,
5,1.3798392,target,3,,,,
5,2.0703408,target,3,,,,
5,2.13881,target,3,,,,
10,1.4665251,target,3,,,,
10,1.3309296,target,3,,,,
5,1.42323,target,3,,,,
10,1.6150505,target,3,,,,
10,1.7562806,target,3,,,,
10,1.2406307,target,3,,,,
10,1.9747501,target,3,,,,
10,2.3899054,target,3,,,,
5,1.4491677,target,3,,,,
5,1.8749736,target,3,,,,
10,3.2628855,target,3,,,,
10,3.5177193,target,3,,,,
5,2.6618238,target,3,,,,
5,2.6824704,target,3,,,,
10,1.6729432,target,3,,,,
5,1.8438287,target,3,,,,
5,1.4459351,target,3,,,,
10,2.2331653,target,3,,,,
5,1.1966098,target,3,,,,
5,2.4750086,target,3,,,,
5,1.6543391,target,3,,,,
10,2.07201,target,3,,,,
10,3.5298912,target,3,,,,
5,1.2731159,target,3,,,,
5,1.4285066,target,3,,,,
5,2.9709492,target,3,,,,
5,2.0699799,target,3,,,,
10,2.831179,target,3,,,,
10,1.6326702,target,3,,,,
10,1.8304636,target,3,,,,
5,1.8621343,target,3,,,,
10,2.7137854,target,3,,,,
10,1.874771,target,3,,,,
5,2.1125438,target,3,,,,
5,1.4140382,target,3,,,,
10,3.0171895,target,3,,,,
5,1.8019323,target,3,,,,
5,3.1021619,target,3,,,,
10,2.2230522,target,3,,,,
5,1.4402829,target,3,,,,
5,1.715613,target,3,,,,
10,1.5543775,target,3,,,,
5,1.6385385,target,3,,,,
10,1.6301869,target,3,,,,
5,1.2572141,target,3,,,,
5,1.5465203,target,3,,,,
5,2.3431093,target,3,,,,
5,2.3588688,target,3,,,,
5,1.2727058,target,3,,,,
5,1.2795461,target,3,,,,
5,1.3762787,target,3,,,,
5,1.8438736,target,3,,,,
5,1.6614123,target,3,,,,
5,1.5092651,target,3,,,,
10,1.6658665,target,3,,,,
5,1.2252013,target,3,,,,
5,1.6380737,target,3,,,,
5,1.3376887,target,3,,,,
5,0.8033471,target,3,,,,
5,1.9552786,target,3,,,,
10,1.8925419,target,3,,,,
5,1.55452,target,3,,,,
10,3.3344906,target,3,,,,
5,1.1988361,target,3,,,,
10,1.0747559,target,3,,,,
10,2.2550605,target,3,,,,
5,1.6039488,target,3,,,,
5,1.3951328,target,3,,,,
5,1.432648,target,3,,,,
10,2.2112868,target,3,,,,
5,2.9314925,target,3,,,,
10,1.9844916,target,4,,,,
5,1.9865032,target,4,,,,
5,1.0973956,target,4,,,,
10,1.4056687,target,4,,,,
10,4.7558466,target,4,,,,
5,1.2620168,target,4,,,,
10,3.2374154,target,4,,,,
10,1.5480663,target,4,,,,
10,2.3002927,target,4,,,,
10,2.0028204,target,4,,,,
10,1.1708104,target,4,,,,
10,1.3272178,target,4,,,,
10,1.558204,target,4,,,,
5,1.3393385,target,4,,,,
10,1.2726658,target,4,,,,
10,1.3919654,target,4,,,,
5,1.754128,target,4,,,,
5,1.3682984,target,4,,,,
10,1.7025283,target,4,,,,
5,1.115385,target,4,,,,
10,2.0390343,target,4,,,,
10,3.742526,target,4,,,,
10,1.2651466,target,4,,,,
10,1.7620915,target,4,,,,
10,3.8934889,target,4,,,,
5,1.4390315,target,4,,,,
10,1.2261563,target,4,,,,
10,1.1095147,target,4,,,,
10,1.6316526,target,4,,,,
10,1.3550911,target,4,,,,
5,1.2118342,target,4,,,,
5,1.3320084,target,4,,,,
10,2.5050951,target,4,,,,
10,1.1137456,target,4,,,,
10,1.4276399,target,4,,,,
