56.5700 	EXP 	fixation: autoDraw = False
56.5700 	EXP 	grating: autoDraw = False
56.5700 	EXP 	grating: ori = 0.0
56.5700 	EXP 	fixation: autoDraw = True
57.5561 	EXP 	grating: autoDraw = True
57.5726 	EXP 	fixation: autoDraw = False
57.8563 	EXP 	grating: autoDraw = False
58.5761 	EXP 	New trial (rep=17, index=0): None
58.5833 	DATA 	Keypress: up
58.5855 	EXP 	fixation: autoDraw = False
58.5855 	EXP 	grating: autoDraw = False
58.5855 	EXP 	grating: ori = -1.0
58.5855 	EXP 	fixation: autoDraw = True
59.5729 	EXP 	grating: autoDraw = True
59.5893 	EXP 	fixation: autoDraw = False
59.8726 	EXP 	grating: autoDraw = False
60.2581 	EXP 	New trial (rep=18, index=0): None
60.2673 	DATA 	Keypress: down
60.2695 	EXP 	fixation: autoDraw = False
60.2695 	EXP 	grating: autoDraw = False
60.2695 	EXP 	grating: ori = 0.0
60.2695 	EXP 	fixation: autoDraw = True
61.2559 	EXP 	grating: autoDraw = True
61.2725 	EXP 	fixation: autoDraw = False
61.5558 	EXP 	grating: autoDraw = False
62.4414 	EXP 	New trial (rep=19, index=0): None
62.4490 	DATA 	Keypress: up
62.4513 	EXP 	fixation: autoDraw = False
62.4513 	EXP 	grating: autoDraw = False
62.4513 	EXP 	grating: ori = 0.0
62.4513 	EXP 	fixation: autoDraw = True
63.4390 	EXP 	grating: autoDraw = True
63.4557 	EXP 	fixation: autoDraw = False
63.7388 	EXP 	grating: autoDraw = False
64.0795 	DATA 	Keypress: up
64.1153 	EXP 	New trial (rep=20, index=0): None
64.1251 	EXP 	fixation: autoDraw = False
64.1251 	EXP 	grating: autoDraw = False
64.1251 	EXP 	grating: ori = -1.0
64.1251 	EXP 	fixation: autoDraw = True
65.1221 	EXP 	grating: autoDraw = True
65.1386 	EXP 	fixation: autoDraw = False
65.4222 	EXP 	grating: autoDraw = False
65.7751 	EXP 	New trial (rep=21, index=0): None
65.7824 	DATA 	Keypress: up
65.7846 	EXP 	fixation: autoDraw = False
65.7846 	EXP 	grating: autoDraw = False
65.7846 	EXP 	grating: ori = 0.0
65.7846 	EXP 	fixation: autoDraw = True
66.7722 	EXP 	grating: autoDraw = True
66.7888 	EXP 	fixation: autoDraw = False
67.0720 	EXP 	grating: autoDraw = False
67.2254 	EXP 	New trial (rep=22, index=0): None
67.2324 	DATA 	Keypress: up
67.2346 	EXP 	fixation: autoDraw = False
67.2346 	EXP 	grating: autoDraw = False
67.2346 	EXP 	grating: ori = -3.0
67.2346 	EXP 	fixation: autoDraw = True
68.2217 	EXP 	grating: autoDraw = True
68.2383 	EXP 	fixation: autoDraw = False
68.5218 	EXP 	grating: autoDraw = False
68.9255 	EXP 	New trial (rep=23, index=0): None
68.9325 	DATA 	Keypress: down
68.9347 	EXP 	fixation: autoDraw = False
68.9347 	EXP 	grating: autoDraw = False
68.9347 	EXP 	grating: ori = 0.0
68.9347 	EXP 	fixation: autoDraw = True
69.9215 	EXP 	grating: autoDraw = True
69.9385 	EXP 	fixation: autoDraw = False
70.2215 	EXP 	grating: autoDraw = False
70.5916 	EXP 	New trial (rep=24, index=0): None
70.5983 	DATA 	Keypress: up
70.6005 	EXP 	fixation: autoDraw = False
70.6005 	EXP 	grating: autoDraw = False
70.6005 	EXP 	grating: ori = -3.0
70.6005 	EXP 	fixation: autoDraw = True
71.5881 	EXP 	grating: autoDraw = True
71.6048 	EXP 	fixation: autoDraw = False
71.8882 	EXP 	grating: autoDraw = False
72.1605 	DATA 	Keypress: down
72.1901 	EXP 	New trial (rep=25, index=0): None
72.1986 	EXP 	fixation: autoDraw = False
72.1986 	EXP 	grating: autoDraw = False
72.1986 	EXP 	grating: ori = 0.0
72.1986 	EXP 	fixation: autoDraw = True
73.1882 	EXP 	grating: autoDraw = True
73.2050 	EXP 	fixation: autoDraw = False
73.4882 	EXP 	grating: autoDraw = False
73.7579 	EXP 	New trial (rep=26, index=0): None
73.7650 	DATA 	Keypress: up
73.7672 	EXP 	fixation: autoDraw = False
73.7672 	EXP 	grating: autoDraw = False
73.7672 	EXP 	grating: ori = 0.0
73.7672 	EXP 	fixation: autoDraw = True
74.7544 	EXP 	grating: autoDraw = True
74.7714 	EXP 	fixation: autoDraw = False
75.0546 	EXP 	grating: autoDraw = False
75.4069 	EXP 	New trial (rep=27, index=0): None
75.4162 	DATA 	Keypress: up
75.4183 	EXP 	fixation: autoDraw = False
75.4183 	EXP 	grating: autoDraw = False
75.4183 	EXP 	grating: ori = 0.0
75.4183 	EXP 	fixation: autoDraw = True
76.4046 	EXP 	grating: autoDraw = True
76.4211 	EXP 	fixation: autoDraw = False
76.7045 	EXP 	grating: autoDraw = False
76.9770 	EXP 	New trial (rep=28, index=0): None
76.9844 	DATA 	Keypress: up
76.9871 	EXP 	fixation: autoDraw = False
76.9871 	EXP 	grating: autoDraw = False
76.9871 	EXP 	grating: ori = 0.0
76.9871 	EXP 	fixation: autoDraw = True
77.9709 	EXP 	grating: autoDraw = True
77.9874 	EXP 	fixation: autoDraw = False
78.2711 	EXP 	grating: autoDraw = False
78.4948 	DATA 	Keypress: up
78.5261 	EXP 	New trial (rep=29, index=0): None
78.5349 	EXP 	fixation: autoDraw = False
78.5349 	EXP 	grating: autoDraw = False
78.5349 	EXP 	grating: ori = -2.0
78.5349 	EXP 	fixation: autoDraw = True
79.5209 	EXP 	grating: autoDraw = True
79.5375 	EXP 	fixation: autoDraw = False
79.8209 	EXP 	grating: autoDraw = False
80.3749 	EXP 	New trial (rep=30, index=0): None
80.3826 	DATA 	Keypress: down
80.3849 	EXP 	fixation: autoDraw = False
80.3849 	EXP 	grating: autoDraw = False
80.3849 	EXP 	grating: ori = -1.0
80.3849 	EXP 	fixation: autoDraw = True
81.3708 	EXP 	grating: autoDraw = True
81.3873 	EXP 	fixation: autoDraw = False
81.6706 	EXP 	grating: autoDraw = False
82.1556 	EXP 	New trial (rep=31, index=0): None
82.1630 	DATA 	Keypress: down
82.1653 	EXP 	fixation: autoDraw = False
82.1653 	EXP 	grating: autoDraw = False
82.1653 	EXP 	grating: ori = 0.0
82.1653 	EXP 	fixation: autoDraw = True
83.1539 	EXP 	grating: autoDraw = True
83.1707 	EXP 	fixation: autoDraw = False
83.4539 	EXP 	grating: autoDraw = False
83.9600 	DATA 	Keypress: down
83.9997 	EXP 	New trial (rep=32, index=0): None
84.0118 	EXP 	fixation: autoDraw = False
84.0118 	EXP 	grating: autoDraw = False
84.0118 	EXP 	grating: ori = 0.0
84.0118 	EXP 	fixation: autoDraw = True
85.0038 	EXP 	grating: autoDraw = True
85.0205 	EXP 	fixation: autoDraw = False
85.3037 	EXP 	grating: autoDraw = False
85.4404 	EXP 	New trial (rep=33, index=0): None
85.4475 	DATA 	Keypress: up
